_id;version;id;time;stored;agent;url;specifier;asresult;ainterface
10516c011cd0e5501ea36986;100;9c15ddf4-bdec-4cea-af28-45b916bf1d1c;2021-02-08T15:42:57+00:00;8/02/2021 16:42;"{""user"":""Giovanni Delou"",""jbox"":""mailto:Giovanni.Delou@mail.com"",""interface"":""Console""}";"{""id"":""https://APInet.com/xAPITerms/verbs/loggedin/"",""display"":{""en"":""logged into""}}";qxlkjrhégiuhfiljzoxkjrfjhalkmxjeflhk;;"{""interface"":""Console"",""user"":""Dataplatform"",""jbox"":""mailto:Dataplatform@ai.com""}"
10514ad011a229500e09f2db;100;f89d95c6-86eb-4fb1-a531-2fe99010d011;2021-02-08T15:29:36+01:00;8/02/2021 15:29;"{""user"":""Bella Ciao"",""jbox"":""mailto:Bella.Ciao@mail.com"",""interface"":""Console""}";"{""id"":""http://id.sky-net.com/verb/viewed"",""display"":{""en"":""viewed""}}";xrlkghcvzcjkfxjvgzhiajse;;"{""interface"":""Console"",""user"":""Dataplatform"",""jbox"":""mailto:Dataplatform@ai.com""}"
10514a8211a229500e09f2da;100;238ae913-14b5-4bb1-a553-85e4edd8d481;2021-02-08T14:28:23+00:00;8/02/2021 15:28;"{""user"":""Bella Ciao"",""jbox"":""mailto:Bella.Ciao@mail.com"",""interface"":""Console""}";"{""id"":""http://id.sky-net.com/verb/viewed"",""display"":{""en"":""viewed""}}";ljkxrgcjnhvoxhjskejrxhukhnfikw;;"{""interface"":""Console"",""user"":""Dataplatform"",""jbox"":""mailto:Dataplatform@ai.com""}"
10514a811cd0e5501ea36984;100;4fb5c104-8c88-4da2-a08f-b6b8a01c1c82;2021-02-08T14:28:22+00:00;8/02/2021 15:28;"{""user"":""Bella Ciao"",""jbox"":""mailto:Bella.Ciao@mail.com"",""interface"":""Console""}";"{""id"":""https://APInet.com/xAPITerms/verbs/loggedin/"",""display"":{""en"":""logged into""}}";qxkjiuhrkhczxedjiertbyv;;"{""interface"":""Console"",""user"":""Dataplatform"",""jbox"":""mailto:Dataplatform@ai.com""}"
10513ef21cd0e5501ea36983;100;e8125aff-133b-469c-b1ef-ef1d9681fb12;2021-02-08T13:39:03+00:00;8/02/2021 14:39;"{""user"":""John Doe"",""jbox"":""mailto:John.Doe@mail.com"",""interface"":""Console""}";"{""id"":""http://id.sky-net.com/verb/viewed"",""display"":{""en"":""viewed""}}";qxlkrjhnxgdjkqcisovlkhgjcfh;;"{""interface"":""Console"",""user"":""Dataplatform"",""jbox"":""mailto:Dataplatform@ai.com""}"
10513ef311a229500e09f2d9;100;eb53d018-2b56-49c3-be8e-9af2488c9d3a;2021-02-08T14:38:58+01:00;8/02/2021 14:38;"{""user"":""John Doe"",""jbox"":""mailto:John.Doe@mail.com"",""interface"":""Console""}";"{""id"":""http://id.sky-net.com/verb/viewed"",""display"":{""en"":""viewed""}}";qlkjhcgsejskligtrjhyrtgfr;;"{""interface"":""Console"",""user"":""Dataplatform"",""jbox"":""mailto:Dataplatform@ai.com""}"
10513ef01cd0e5501ea36985;100;1d1b1f10-a458-4c96-90fd-1b66156d5f54;2021-02-08T13:38:56+00:00;8/02/2021 14:38;"{""user"":""John Doe"",""jbox"":""mailto:John.Doe@mail.com"",""interface"":""Console""}";"{""id"":""http://id.sky-net.com/verb/viewed"",""display"":{""en"":""viewed""}}";qkjHSFKICHUXF;;"{""interface"":""Console"",""user"":""Dataplatform"",""jbox"":""mailto:Dataplatform@ai.com""}"
10513ee911a229500e09f2d8;100;62d21424-862c-498d-904f-15c1a6592a9b;2021-02-08T14:38:48+01:00;8/02/2021 14:38;"{""user"":""John Doe"",""jbox"":""mailto:John.Doe@mail.com"",""interface"":""Console""}";"{""id"":""http://id.sky-net.com/verb/viewed"",""display"":{""en"":""viewed""}}";khjkSREFGRDFGYHJUHNB;;"{""interface"":""Console"",""user"":""Dataplatform"",""jbox"":""mailto:Dataplatform@ai.com""}"
10513ee51cd0e5501ea36981;100;5e4a1ef1-4132-4b11-95f8-96ede11d5483;2021-02-08T14:38:41+01:00;8/02/2021 14:38;"{""user"":""John Doe"",""jbox"":""mailto:John.Doe@mail.com"",""interface"":""Console""}";"{""id"":""http://id.sky-net.com/verb/replied"",""display"":{""en"":""replied to""}}";qluhkjxfgycbqgnhrgjklfe;1;"{""interface"":""Console"",""user"":""Dataplatform"",""jbox"":""mailto:Dataplatform@ai.com""}"
10513eab1cd0e5501ea36980;100;345824d1-003a-418b-aaa4-d04a6a6b1cb1;2021-02-08T14:37:46+01:00;8/02/2021 14:37;"{""user"":""John Doe"",""jbox"":""mailto:John.Doe@mail.com"",""interface"":""Console""}";"{""id"":""http://id.sky-net.com/verb/viewed"",""display"":{""en"":""viewed""}}";kjnhqcxhbjgdnhgfjcnhz;;"{""interface"":""Console"",""user"":""Dataplatform"",""jbox"":""mailto:Dataplatform@ai.com""}"
